1	İHRACATI GELİŞTİRME MERKEZİ BİNASI	DIŞ CEPHE TEMİZLİK VE RESTORASYON İŞLEMİ	ANKARA	1986
2	İSTANBUL MÜFTÜLÜĞÜ CÜMLE KAPISI	DIŞ CEPHE TEMİZLİK VE RESTORASYON İŞLEMİ	FATİH	1986
3	VAKIF GUREBA HASTANESİ KAPISI	DIŞ CEPHE TEMİZLİK VE RESTORASYON İŞLEMİ	AKSARAY	1986
4	VAKIF GUREBA HASTANESİ BİNASI	DIŞ CEPHE TEMİZLİK VE RESTORASYON İŞLEMİ	AKSARAY	1986
5	İBB AÇIK HAVA TİYATROSU	DIŞ CEPHE TEMİZLİK VE RESTORASYON İŞLEMİ	HARBİYE	1986
6	GÜMÜŞSUYU VAKIF İŞ HANI	DIŞ CEPHE ONARIM VE BOYA İŞLEMİ	TAKSİM	1986
7	FIDIKLIYAN HAN	DIŞ CEPHE TEMİZLİK VE RESTORASYON İŞLEMİ	EMİNÖNÜ	1986
8	İBB GAZANFERAĞA KÜLLİYESİ	DIŞ CEPHE TEMİZLİK VE RESTORASYON İŞLEMİ	FATİH	1986
9	DESTEK REASÜRANS BİNASI	DIŞ CEPHE TEMİZLİK VE RESTORASYON İŞLEMİ	MAÇKA	1986
10	SÜMERBANK MERKEZ ŞUBE BİNASI	DIŞ CEPHE TEMİZLİK VE RESTORASYON İŞLEMİ	KARAKÖY	1987
11	VAKIF GUREBA HASTANESİ BİNASI	DIŞ CEPHE ONARIM VE BOYA İŞLEMİ	AKSARAY	1987
12	YAPI KREDİ VE HALK BANKASI BİNASI	DIŞ CEPHE TEMİZLİK VE RESTORASYON İŞLEMİ	KARAKÖY	1987
13	YASEMİN APT.	DIŞ CEPHE ONARIM VE BOYA İŞLEMİ	BEBEK	1987
14	SABANCI VİLLALARI	DIŞ CEPHE TEMİZLİK VE RESTORASYON İŞLEMİ	KANDİLLİ	1987
15	İBB BİNASI	DIŞ CEPHE TEMİZLİK VE RESTORASYON İŞLEMİ	FATİH	1988
16	İSTANBUL ADLİYESİ BİNASI	DIŞ CEPHE TEMİZLİK VE RESTORASYON İŞLEMİ	SULTANAHMET	1988
17	İSTANBUL ÜNİVERSİTESİ GİRİŞ KAPISI	DIŞ CEPHE TEMİZLİK VE RESTORASYON İŞLEMİ	BEYAZIT	1988
18	KADIRGA MEYDAN ÇEŞMESİ	DIŞ CEPHE TEMİZLİK VE RESTORASYON İŞLEMİ	KADIRGA	1988
19	ALBARAKA TÜRK KARAKÖY ŞB.	DIŞ CEPHE TEMİZLİK VE RESTORASYON İŞLEMİ	KARAKÖY	1988
20	BEYOĞLU KAYMAKAMLIĞI BİNASI	DIŞ CEPHE TEMİZLİK VE RESTORASYON İŞLEMİ	BEYOĞLU	1988
21	ŞAUP APT.	DIŞ CEPHE TEMİZLİK VE RESTORASYON İŞLEMİ	BEYOĞLU	1988
22	AYASPAŞA PALAS APT.	DIŞ CEPHE ONARIM VE BOYA İŞLEMİ	TAKSİM	1988
